t,ax,ay,az
4508.536000,0.086670,-0.026367,-1.003662
4508.547000,0.087891,-0.027832,-1.003174
4508.559000,0.088379,-0.025391,-1.001465
4508.570000,0.083740,-0.032959,-1.001953
4508.581000,0.086182,-0.027832,-1.000977
4508.592000,0.080322,-0.031982,-1.000732
4508.603000,0.084229,-0.030273,-1.005127
4508.615000,0.085449,-0.025635,-1.004394
4508.626000,0.088867,-0.030273,-1.007568
4508.637000,0.087646,-0.021729,-1.010498
4508.648000,0.089355,-0.023682,-1.006592
4508.659000,0.084473,-0.030518,-1.005371
4508.670000,0.082764,-0.027832,-1.001465
4508.713000,0.087646,-0.030518,-0.997559
4508.725000,0.082520,-0.033691,-0.992188
4508.737000,0.091797,-0.028809,-0.994873
4508.748000,0.085449,-0.029297,-1.001465
4508.759000,0.085693,-0.028564,-0.996826
4508.770000,0.087402,-0.026123,-1.000977
4508.780000,0.081055,-0.030762,-1.004639
4508.791000,0.084473,-0.024170,-1.001465
4508.802000,0.083252,-0.027588,-1.002686
4508.814000,0.082275,-0.025635,-1.020752
4508.824000,0.083496,-0.026855,-1.012451
4508.835000,0.084473,-0.028564,-1.001221
4508.849000,0.087646,-0.024658,-1.000244
4508.861000,0.085449,-0.028809,-1.000000
4508.872000,0.084717,-0.028076,-1.005371
4508.883000,0.085205,-0.027832,-1.006104
4508.895000,0.084473,-0.031738,-1.005371
4508.906000,0.083008,-0.029541,-0.998047
4508.917000,0.082275,-0.027344,-1.009522
4508.928000,0.081299,-0.029297,-1.003662
4508.939000,0.086914,-0.029053,-0.991211
4508.951000,0.084473,-0.032471,-1.000732
4508.962000,0.086914,-0.026367,-1.004394
4508.973000,0.084717,-0.027344,-0.999512
4508.984000,0.084717,-0.030029,-0.996338
4508.995000,0.083740,-0.030762,-0.998047
4509.006000,0.083252,-0.027344,-1.001709
4509.018000,0.084473,-0.029785,-0.997070
4509.029000,0.084717,-0.029053,-1.004639
4509.040000,0.084717,-0.029541,-1.004883
4509.051000,0.083252,-0.026611,-1.002686
4509.063000,0.080078,-0.027588,-1.008545
4509.074000,0.080322,-0.031250,-0.999268
4509.084000,0.083008,-0.027832,-0.997070
4509.095000,0.080322,-0.029297,-0.995117
4509.106000,0.086670,-0.028809,-1.003662
4509.117000,0.080078,-0.028564,-1.007080
4509.132000,0.085205,-0.026367,-1.005371
4509.144000,0.083740,-0.028320,-1.003418
4509.154000,0.082275,-0.027344,-0.998779
4509.165000,0.086670,-0.025391,-0.997314
4509.177000,0.083252,-0.029053,-0.998291
4509.188000,0.083008,-0.031494,-0.998779
4509.199000,0.085205,-0.024902,-1.010010
4509.211000,0.085693,-0.025391,-1.001953
4509.222000,0.080811,-0.028809,-0.999756
4509.233000,0.083984,-0.029053,-0.995850
4509.244000,0.082520,-0.026611,-1.001709
4509.255000,0.080078,-0.029541,-1.006348
4509.266000,0.083740,-0.026611,-1.005615
4509.278000,0.084961,-0.025879,-1.004394
4509.289000,0.083252,-0.027344,-1.003662
4509.300000,0.085938,-0.024902,-1.002686
4509.311000,0.080566,-0.028076,-1.007324
4509.323000,0.082275,-0.024658,-1.019531
4509.334000,0.085205,-0.024170,-1.010010
4509.345000,0.080811,-0.028320,-1.004639
4509.357000,0.083740,-0.029053,-0.995850
4509.368000,0.086670,-0.025635,-0.998291
4509.379000,0.082520,-0.028320,-1.010010
4509.390000,0.086670,-0.028076,-1.006104
4509.400000,0.081055,-0.030029,-1.005859
4509.414000,0.084717,-0.027832,-1.005127
4509.425000,0.080566,-0.025879,-1.000977
4509.437000,0.086914,-0.030029,-1.002930
4509.448000,0.081787,-0.030518,-0.993164
4509.460000,0.083252,-0.028809,-1.006592
4509.471000,0.081543,-0.030518,-1.012451
4509.482000,0.085449,-0.029053,-1.000488
4509.493000,0.085449,-0.028076,-0.993652
4509.505000,0.077393,-0.029297,-0.995117
4509.516000,0.083984,-0.030762,-0.998291
4509.527000,0.085449,-0.025879,-1.004150
4509.539000,0.084717,-0.025879,-1.010742
4509.550000,0.086182,-0.026611,-1.007812
4509.561000,0.083252,-0.027832,-1.000488
4509.572000,0.087402,-0.030029,-1.000732
4509.584000,0.082764,-0.024414,-1.002686
4509.595000,0.084961,-0.029541,-1.003662
4509.606000,0.085449,-0.031494,-0.992920
4509.617000,0.084961,-0.024902,-1.001953
4509.629000,0.081055,-0.024658,-0.999268
4509.640000,0.084717,-0.028564,-1.006836
4509.651000,0.086182,-0.030518,-1.001465
4509.663000,0.085693,-0.031250,-1.001953
4509.673000,0.087646,-0.030273,-0.996338
4509.684000,0.082031,-0.034180,-1.002930
4509.729000,0.085205,-0.026855,-1.008057
4509.741000,0.086914,-0.025146,-1.014648
4509.752000,0.086426,-0.027344,-1.005859
4509.763000,0.086426,-0.028320,-1.002686
4509.775000,0.085205,-0.028809,-1.003662
4509.786000,0.083740,-0.028076,-1.002686
4509.797000,0.084473,-0.030029,-0.998535
4509.809000,0.086426,-0.028564,-0.995850
4509.820000,0.089355,-0.031006,-0.996826
4509.831000,0.086182,-0.027344,-1.000732
4509.842000,0.083740,-0.027588,-1.007324
4509.853000,0.085205,-0.030762,-1.006104
4509.864000,0.085693,-0.031006,-0.990234
4509.875000,0.083252,-0.032227,-0.987061
4509.887000,0.083252,-0.028564,-0.997070
4509.898000,0.087646,-0.022949,-1.008301
4509.909000,0.082764,-0.027100,-1.002930
4509.921000,0.081299,-0.023682,-1.003906
4509.932000,0.088135,-0.028564,-1.001465
4509.944000,0.085205,-0.028076,-1.004639
4509.955000,0.081787,-0.028076,-1.009522
4509.966000,0.083496,-0.026367,-1.008301
4509.977000,0.088623,-0.025879,-0.998779
4509.989000,0.083252,-0.031738,-1.004883
4510.000000,0.087402,-0.029541,-0.998535
4510.014000,0.082031,-0.026855,-1.005127
4510.026000,0.083008,-0.027344,-1.006836
4510.037000,0.083252,-0.026855,-1.012939
4510.049000,0.083008,-0.030762,-0.999268
4510.060000,0.085693,-0.031738,-1.002686
4510.071000,0.085938,-0.029785,-0.996582
4510.082000,0.084229,-0.029785,-0.997803
4510.094000,0.083496,-0.030029,-1.001465
4510.105000,0.081543,-0.029297,-1.003906
4510.116000,0.086426,-0.027588,-0.986328
4510.127000,0.084473,-0.032227,-0.991699
4510.139000,0.084961,-0.028564,-0.997803
