t,ax,ay,az
4522.112000,1.034424,-0.019775,-0.024658
4522.124000,1.032959,-0.018555,-0.017334
4522.135000,1.034180,-0.015381,-0.016113
4522.146000,1.037354,-0.017334,-0.017822
4522.158000,1.035644,-0.019531,-0.015137
4522.169000,1.037842,-0.018311,-0.021973
4522.180000,1.032227,-0.018066,-0.019775
4522.191000,1.033936,-0.019287,-0.019531
4522.203000,1.036865,-0.020508,-0.028809
4522.214000,1.034912,-0.018066,-0.024170
4522.225000,1.035889,-0.022461,-0.019775
4522.237000,1.034912,-0.018066,-0.026611
4522.248000,1.033936,-0.017578,-0.025146
4522.289000,1.033691,-0.022461,-0.021729
4522.301000,1.035644,-0.018311,-0.024170
4522.312000,1.040283,-0.019043,-0.024902
4522.323000,1.030273,-0.016357,-0.031250
4522.334000,1.033691,-0.019531,-0.016113
4522.345000,1.039795,-0.018311,-0.030273
4522.356000,1.037109,-0.018555,-0.024658
4522.367000,1.036377,-0.019043,-0.029541
4522.379000,1.033691,-0.018799,-0.024902
4522.390000,1.033691,-0.019043,-0.021484
4522.401000,1.034180,-0.017578,-0.024658
4522.413000,1.036621,-0.017090,-0.024902
4522.427000,1.034668,-0.017334,-0.021240
4522.438000,1.031982,-0.021484,-0.021973
4522.449000,1.039062,-0.021729,-0.030518
4522.461000,1.037598,-0.020020,-0.029297
4522.472000,1.035644,-0.017822,-0.024170
4522.483000,1.034180,-0.018799,-0.024414
4522.494000,1.029297,-0.020264,-0.025879
4522.505000,1.033691,-0.022461,-0.027344
4522.516000,1.030029,-0.024414,-0.029053
4522.528000,1.033203,-0.017822,-0.031006
4522.539000,1.037354,-0.017334,-0.024658
4522.550000,1.036621,-0.017578,-0.029053
4522.561000,1.036377,-0.019775,-0.025635
4522.573000,1.034912,-0.018799,-0.028564
4522.584000,1.033447,-0.015869,-0.026855
4522.595000,1.035400,-0.017090,-0.025635
4522.607000,1.032715,-0.017334,-0.026123
4522.618000,1.033691,-0.019287,-0.027832
4522.629000,1.031494,-0.020752,-0.019287
4522.640000,1.031494,-0.021973,-0.027832
4522.650000,1.034912,-0.021240,-0.024170
4522.661000,1.034180,-0.018066,-0.031006
4522.672000,1.031982,-0.020264,-0.020020
4522.684000,1.033447,-0.020264,-0.025146
4522.695000,1.031738,-0.019043,-0.024170
4522.709000,1.031494,-0.016357,-0.032715
4522.721000,1.031738,-0.018311,-0.028076
4522.732000,1.034424,-0.015625,-0.026123
4522.743000,1.032471,-0.021484,-0.030518
4522.755000,1.037354,-0.018799,-0.028320
4522.766000,1.037598,-0.018311,-0.020508
4522.777000,1.035889,-0.017334,-0.028320
4522.789000,1.033447,-0.015381,-0.021240
4522.800000,1.031494,-0.018555,-0.027100
4522.811000,1.035644,-0.018555,-0.032471
4522.822000,1.036377,-0.019043,-0.030273
4522.834000,1.030518,-0.019531,-0.028076
4522.844000,1.031982,-0.016602,-0.024902
4522.855000,1.033691,-0.018555,-0.030762
4522.866000,1.032715,-0.017334,-0.028809
4522.877000,1.037842,-0.019287,-0.025879
4522.888000,1.035156,-0.019287,-0.025879
4522.899000,1.030518,-0.021729,-0.025635
4522.911000,1.032715,-0.016357,-0.034424
4522.922000,1.038574,-0.017822,-0.027100
4522.934000,1.038086,-0.018799,-0.023682
4522.944000,1.030762,-0.020264,-0.023193
4522.955000,1.033936,-0.018799,-0.027588
4522.966000,1.033691,-0.019043,-0.030762
4522.977000,1.031006,-0.014160,-0.024658
4522.991000,1.040283,-0.017334,-0.026123
4523.003000,1.031982,-0.019531,-0.032227
4523.015000,1.032959,-0.018555,-0.026855
4523.026000,1.039551,-0.017578,-0.023193
4523.037000,1.037354,-0.018555,-0.031738
4523.049000,1.037598,-0.019043,-0.024170
4523.060000,1.034668,-0.016846,-0.027344
4523.071000,1.032715,-0.017334,-0.027832
4523.082000,1.034180,-0.017822,-0.026367
4523.094000,1.039062,-0.020752,-0.028809
4523.104000,1.040283,-0.020996,-0.027832
4523.115000,1.033203,-0.018066,-0.025879
4523.127000,1.031006,-0.013184,-0.030518
4523.138000,1.034424,-0.017090,-0.027100
4523.149000,1.034424,-0.016357,-0.025879
4523.160000,1.032227,-0.017578,-0.024658
4523.171000,1.033691,-0.021484,-0.028320
4523.182000,1.034424,-0.016846,-0.030029
4523.193000,1.035644,-0.018555,-0.023193
4523.205000,1.037109,-0.018066,-0.034424
4523.216000,1.031738,-0.018066,-0.028564
4523.227000,1.036133,-0.016846,-0.028809
4523.239000,1.036621,-0.018799,-0.033447
4523.250000,1.038330,-0.018555,-0.027832
4523.261000,1.033447,-0.018311,-0.029053
4523.306000,1.031250,-0.019043,-0.030029
4523.317000,1.032715,-0.020264,-0.037842
4523.329000,1.035644,-0.017578,-0.034180
4523.340000,1.035400,-0.014160,-0.023682
4523.351000,1.037842,-0.021973,-0.027344
4523.362000,1.036865,-0.018066,-0.025635
4523.373000,1.034180,-0.017090,-0.033203
4523.385000,1.035400,-0.018066,-0.035156
4523.396000,1.037842,-0.016113,-0.029785
4523.407000,1.034424,-0.021240,-0.036865
4523.419000,1.035400,-0.015869,-0.028809
4523.430000,1.030029,-0.017334,-0.037354
4523.441000,1.031494,-0.018311,-0.031250
4523.452000,1.033203,-0.017334,-0.036377
4523.463000,1.032227,-0.017334,-0.037109
4523.474000,1.036133,-0.018555,-0.033447
4523.485000,1.040283,-0.017578,-0.037354
4523.497000,1.032471,-0.015381,-0.031006
4523.508000,1.033447,-0.017578,-0.038330
4523.520000,1.036133,-0.015869,-0.035400
4523.531000,1.034912,-0.015625,-0.033447
4523.542000,1.034912,-0.020752,-0.036865
4523.553000,1.031494,-0.016602,-0.026611
4523.565000,1.031494,-0.018799,-0.024658
4523.576000,1.032471,-0.020508,-0.032227
4523.590000,1.036865,-0.017334,-0.026611
4523.602000,1.034912,-0.016113,-0.039307
4523.613000,1.033447,-0.014160,-0.037354
4523.624000,1.033203,-0.017334,-0.028564
4523.636000,1.034180,-0.017578,-0.031738
4523.647000,1.036865,-0.018311,-0.026367
4523.658000,1.033691,-0.014160,-0.024414
4523.670000,1.033447,-0.021729,-0.028564
4523.680000,1.034180,-0.014404,-0.038330
4523.691000,1.035156,-0.017822,-0.030029
4523.703000,1.033691,-0.017090,-0.034424
4523.714000,1.032959,-0.018066,-0.026855
4523.725000,1.033203,-0.016846,-0.039551
4523.736000,1.033447,-0.018799,-0.030273
4523.747000,1.036133,-0.020020,-0.027588
4523.758000,1.033691,-0.021973,-0.032471
4523.769000,1.034424,-0.018555,-0.028564
4523.780000,1.034180,-0.014160,-0.030029
4523.791000,1.038086,-0.020264,-0.026611
4523.803000,1.033447,-0.019531,-0.034912
4523.814000,1.033936,-0.020020,-0.032471
4523.825000,1.034912,-0.021240,-0.033203
4523.837000,1.033691,-0.017578,-0.029785
4523.848000,1.034180,-0.019531,-0.031250
4523.859000,1.031982,-0.019287,-0.032715
4523.872000,1.035400,-0.018311,-0.032227
4523.884000,1.037109,-0.016113,-0.034180
4523.895000,1.033203,-0.013184,-0.032959
4523.906000,1.035889,-0.013916,-0.026367
4523.917000,1.036865,-0.017334,-0.034424
4523.928000,1.036377,-0.017578,-0.038086
4523.939000,1.034668,-0.016846,-0.038574
4523.950000,1.037354,-0.021484,-0.033936
4523.961000,1.033691,-0.022217,-0.040283
4523.972000,1.037598,-0.014893,-0.034424
