t,ax,ay,az
4549.261000,0.030029,-0.995850,0.004883
4549.272000,0.027588,-0.992432,0.003906
4549.283000,0.024902,-0.997070,0.005127
4549.294000,0.026855,-0.991943,0.007813
4549.304000,0.025391,-0.999268,0.002686
4549.315000,0.022949,-0.993408,0.010254
4549.326000,0.031494,-0.997070,0.003418
4549.337000,0.028076,-0.992432,0.006348
4549.348000,0.026611,-0.997314,0.000244
4549.359000,0.023682,-0.994385,0.005127
4549.369000,0.028809,-0.995850,0.002686
4549.379000,0.028076,-0.993652,0.003174
4549.390000,0.030762,-0.997559,0.002441
4549.433000,0.029785,-0.991455,0.006104
4549.445000,0.025879,-0.992432,0.009766
4549.456000,0.031006,-0.995605,0.009766
4549.466000,0.027832,-0.997314,0.001709
4549.477000,0.025391,-0.995361,0.003906
4549.488000,0.033447,-0.994873,0.003174
4549.499000,0.030762,-0.993164,0.004639
4549.510000,0.029297,-0.995361,0.007568
4549.520000,0.026855,-0.995605,0.005371
4549.530000,0.029053,-0.994629,0.004639
4549.541000,0.027344,-0.991943,0.003662
4549.552000,0.025391,-0.994629,0.005371
4549.563000,0.023926,-0.989258,0.008789
4549.576000,0.025635,-0.995850,0.008789
4549.588000,0.027100,-0.993896,0.010498
4549.599000,0.027832,-0.996582,0.004150
4549.610000,0.033936,-0.993164,0.007568
4549.620000,0.030029,-0.993408,0.003418
4549.630000,0.024902,-0.995117,-0.000977
4549.640000,0.025391,-0.994141,0.000977
4549.651000,0.024902,-0.991943,0.010254
4549.662000,0.030273,-0.994629,0.002686
4549.673000,0.029053,-0.992432,-0.003418
4549.684000,0.028564,-0.991943,0.003418
4549.694000,0.031250,-0.990967,0.000732
4549.704000,0.028076,-0.994629,0.004150
4549.715000,0.028809,-0.997803,0.001709
4549.725000,0.027832,-0.992676,0.008301
4549.736000,0.028564,-0.994385,-0.000244
4549.747000,0.030029,-0.995361,0.003174
4549.758000,0.024902,-0.996826,-0.003418
4549.769000,0.031006,-0.996582,-0.004883
4549.779000,0.030273,-0.992920,0.008301
4549.789000,0.026367,-0.995605,0.000244
4549.800000,0.029297,-0.997314,0.008301
4549.810000,0.027344,-0.995361,0.007568
4549.821000,0.026123,-0.998291,0.006836
4549.832000,0.028076,-0.993408,0.005127
4549.845000,0.027344,-0.996826,-0.003174
4549.857000,0.026611,-0.992432,0.001709
4549.868000,0.025879,-0.994873,-0.000244
4549.879000,0.027832,-0.995605,0.002441
4549.889000,0.028320,-0.996338,0.009521
4549.900000,0.029297,-0.987305,0.003906
4549.911000,0.027100,-0.991211,0.005127
4549.921000,0.030273,-0.993896,0.006592
4549.931000,0.029541,-0.989990,0.011719
4549.942000,0.026855,-0.991455,0.010498
4549.953000,0.025879,-0.997559,0.002930
4549.964000,0.027832,-0.995850,0.005615
4549.975000,0.031982,-0.996582,-0.000244
4549.986000,0.028564,-0.994141,-0.000977
4549.997000,0.030518,-0.993896,-0.002441
4550.007000,0.026611,-0.995361,0.003662
4550.017000,0.026123,-0.993408,-0.000732
4550.028000,0.024902,-0.991455,0.006104
4550.039000,0.029297,-0.991943,0.010254
4550.050000,0.027344,-0.994141,0.009766
4550.060000,0.030273,-0.994385,0.001953
4550.071000,0.029053,-0.991943,0.007324
4550.081000,0.026367,-0.996338,0.010986
4550.092000,0.028564,-0.994873,-0.002197
4550.103000,0.027832,-0.991943,0.001953
4550.114000,0.025391,-0.992920,0.006104
4550.127000,0.027344,-0.996094,0.007324
4550.139000,0.025879,-0.988770,0.000732
4550.150000,0.021240,-0.994385,0.007813
4550.160000,0.025146,-0.992676,0.003906
4550.170000,0.026855,-0.995605,0.012939
4550.181000,0.026855,-0.993896,0.001953
4550.191000,0.034912,-0.995361,0.001465
4550.201000,0.029053,-0.997559,0.007324
4550.212000,0.031494,-0.993896,0.008301
4550.223000,0.030273,-0.991699,0.008301
4550.234000,0.023682,-0.993896,0.009521
4550.244000,0.027588,-0.993408,0.002686
4550.255000,0.027344,-0.991943,0.005615
4550.266000,0.025391,-0.992188,-0.002441
4550.277000,0.030029,-0.994385,0.001221
4550.287000,0.026855,-0.998047,0.007080
4550.298000,0.029785,-0.996338,0.003174
4550.309000,0.028564,-0.995361,0.005127
4550.320000,0.029053,-0.995605,0.012451
4550.331000,0.029053,-0.992920,0.002930
4550.341000,0.031738,-0.990723,0.006348
4550.352000,0.030762,-0.994141,0.000977
4550.363000,0.028076,-0.994141,0.001709
4550.374000,0.028076,-0.994385,0.002930
4550.384000,0.025635,-0.996094,0.005371
4550.429000,0.028076,-0.997314,0.003662
4550.440000,0.025635,-0.995117,0.001221
4550.450000,0.028320,-0.995117,0.006104
4550.460000,0.032959,-0.996094,0.001221
4550.470000,0.028809,-0.996826,0.004150
4550.481000,0.026611,-0.997070,0.000732
4550.492000,0.024902,-0.997070,0.000244
4550.502000,0.026367,-0.993408,0.006104
4550.512000,0.021484,-0.990479,0.008789
4550.523000,0.027588,-0.996338,0.002197
4550.533000,0.025391,-0.990967,-0.001953
4550.544000,0.025391,-0.997314,0.005127
4550.555000,0.028809,-0.992432,0.006104
4550.566000,0.025635,-0.993652,0.002441
4550.577000,0.030273,-0.995117,0.010742
4550.588000,0.029541,-0.993652,0.007813
4550.598000,0.027588,-0.994141,0.006104
4550.609000,0.031494,-0.992920,0.002197
4550.620000,0.030029,-0.995361,0.005371
4550.630000,0.028809,-0.993408,0.006348
4550.641000,0.030273,-0.993408,0.003906
4550.651000,0.025391,-0.994141,0.003418
4550.662000,0.028809,-0.995361,0.003662
4550.673000,0.027832,-0.995605,0.008301
4550.684000,0.023193,-0.995117,0.003906
4550.694000,0.031982,-1.000000,-0.005127
4550.707000,0.026611,-0.996338,-0.000977
4550.718000,0.026611,-0.988037,0.000977
4550.729000,0.026367,-0.994385,0.003418
4550.740000,0.029541,-0.995117,0.006836
4550.751000,0.024658,-0.997314,0.003174
4550.761000,0.029541,-0.991455,-0.007568
4550.772000,0.030029,-0.991211,0.003906
4550.783000,0.028076,-0.993652,0.006836
4550.794000,0.026367,-0.995605,0.003662
4550.804000,0.029541,-0.995117,0.006348
4550.815000,0.028809,-0.992432,0.010010
4550.826000,0.027100,-0.993652,0.001221
4550.837000,0.029541,-0.994385,0.001953
4550.847000,0.026611,-0.990479,0.000732
4550.858000,0.024658,-0.994629,0.003906
4550.869000,0.024414,-0.998047,-0.000488
4550.880000,0.024658,-0.990723,0.003906
4550.891000,0.037842,-1.002930,-0.025635
4550.902000,0.030762,-0.995117,0.007813
4550.913000,0.026611,-0.994141,-0.001709
4550.923000,0.025879,-0.991943,0.008789
4550.934000,0.024414,-0.996582,0.004150
4550.945000,0.030029,-0.993896,0.005127
4550.955000,0.026367,-0.996094,0.001465
4550.966000,0.020508,-0.995605,0.008789
4550.980000,0.028320,-0.997559,0.008301
4550.990000,0.029541,-0.996826,0.004395
4551.000000,0.026611,-0.993896,-0.000977
4551.011000,0.026367,-0.995117,0.001465
4551.022000,0.025635,-0.993164,0.001953
4551.032000,0.023682,-0.996094,-0.001953
4551.043000,0.024658,-0.993408,-0.001953
4551.054000,0.025635,-0.995117,0.006592
4551.064000,0.029053,-0.993896,-0.004883
4551.075000,0.028320,-0.992920,0.006104
4551.086000,0.029785,-0.991211,0.012939
4551.097000,0.029785,-0.992432,0.008301
4551.108000,0.030029,-0.995605,0.004395
4551.119000,0.028320,-0.994141,0.010010
4551.130000,0.023193,-0.994141,0.000488
4551.141000,0.030273,-0.997559,0.004883
4551.152000,0.027588,-0.995117,0.003418
4551.162000,0.029297,-0.992432,0.006348
4551.173000,0.024658,-0.993408,-0.001709
4551.184000,0.024658,-0.994873,0.002930
4551.194000,0.029297,-0.998047,0.000732
4551.205000,0.031494,-0.994141,-0.001709
4551.216000,0.031006,-0.995605,0.002197
4551.226000,0.028809,-0.994141,0.005859
4551.237000,0.026367,-0.990479,0.006104
4551.248000,0.032715,-0.990479,0.011963
4551.261000,0.027588,-0.993896,0.001465
4551.273000,0.031006,-0.991699,-0.001221
4551.284000,0.028809,-0.993652,0.004150
4551.294000,0.028320,-0.999268,0.001221
4551.305000,0.028809,-0.992432,0.000488
4551.316000,0.025635,-0.995850,0.003174
4551.327000,0.026611,-0.993896,-0.000244
4551.338000,0.026123,-0.993896,0.006348
4551.348000,0.030273,-0.994385,0.006104
4551.359000,0.027588,-0.992676,0.000977
4551.370000,0.029297,-0.991943,-0.000732
4551.381000,0.026611,-0.996094,0.003906
4551.392000,0.027832,-0.992432,0.001465
4551.409000,0.029297,-0.992188,0.005371
4551.420000,0.027344,-0.991943,0.000732
4551.431000,0.026367,-0.994385,0.005371
4551.441000,0.028564,-0.993652,0.000488
4551.452000,0.030029,-0.997314,0.005127
4551.462000,0.028076,-0.996582,0.008301
4551.472000,0.026123,-0.993896,0.007080
4551.483000,0.025635,-0.997070,0.003906
4551.493000,0.026367,-0.990967,0.000977
4551.504000,0.028564,-0.994629,0.001953
4551.515000,0.027100,-0.992432,0.007324
4551.526000,0.028076,-0.999756,0.000732
4551.570000,0.028564,-0.998291,0.000244
4551.580000,0.023438,-0.992676,0.000977
4551.591000,0.029053,-0.996338,0.003418
4551.602000,0.026855,-0.993896,0.005371
4551.612000,0.027344,-0.993164,0.004639
4551.623000,0.027588,-0.994141,0.003662
4551.634000,0.025879,-0.994385,-0.003906
4551.645000,0.027344,-0.994629,0.003418
4551.655000,0.026123,-0.994141,-0.004395
4551.666000,0.029053,-0.995850,0.005615
4551.677000,0.028076,-0.993652,0.003662
4551.687000,0.029297,-0.996094,-0.000732
4551.698000,0.028320,-0.994385,0.000732
4551.709000,0.028320,-0.994873,0.003418
4551.720000,0.026611,-0.992432,0.004883
4551.730000,0.027588,-0.991455,0.013428
4551.741000,0.027832,-0.995605,0.003662
4551.751000,0.029541,-0.994873,0.003174
4551.761000,0.026123,-0.991699,0.011963
4551.772000,0.031006,-0.992920,0.002441
4551.783000,0.031006,-0.994629,0.005371
4551.794000,0.028320,-0.996094,0.002930
4551.805000,0.024902,-0.994385,0.000488
4551.816000,0.028320,-0.996094,-0.002686
4551.826000,0.026367,-0.992432,0.001465
4551.840000,0.025635,-0.992432,0.006104
4551.851000,0.027344,-0.992676,-0.000977
4551.862000,0.030518,-0.998291,0.001221
4551.872000,0.034180,-0.997559,0.008301
4551.883000,0.030029,-0.991455,0.004150
4551.893000,0.026367,-0.992676,0.005127
4551.904000,0.026123,-0.995850,-0.001709
4551.915000,0.026123,-0.991943,0.006836
4551.926000,0.028320,-0.993408,-0.000977
4551.936000,0.026611,-0.995117,0.006836
4551.946000,0.030273,-0.993164,0.003662
4551.957000,0.025635,-0.994141,-0.000732
4551.968000,0.026367,-0.992188,0.009521
4551.979000,0.029541,-0.991943,0.008545
4551.989000,0.025879,-0.991455,0.004150
4551.999000,0.022949,-0.993408,0.006104
4552.009000,0.028809,-0.994385,-0.002686
4552.020000,0.028564,-0.995605,0.002441
4552.030000,0.030518,-0.995605,-0.000977
4552.041000,0.030518,-0.991211,0.000244
4552.051000,0.030273,-0.994629,-0.000244
4552.062000,0.028564,-0.994141,-0.006348
4552.073000,0.030273,-0.994629,0.000244
4552.083000,0.021973,-1.001465,0.002197
4552.093000,0.026855,-0.994141,0.004883
4552.103000,0.025879,-0.995361,0.008057
4552.117000,0.025146,-0.992188,0.009033
4552.128000,0.029053,-0.994141,0.004639
4552.139000,0.031738,-0.991943,0.008789
4552.150000,0.029541,-0.990723,0.001953
4552.160000,0.029541,-0.996338,-0.002197
4552.170000,0.028564,-0.989990,0.004883
4552.180000,0.027344,-0.992188,0.009277
4552.191000,0.029053,-0.997314,-0.001465
4552.202000,0.030518,-0.991455,-0.000244
4552.213000,0.025635,-0.991699,0.005859
4552.223000,0.028809,-0.993652,0.002441
4552.234000,0.025635,-0.993896,0.007813
4552.245000,0.026367,-0.992188,0.007324
4552.256000,0.027100,-0.995117,-0.001709
