t,ax,ay,az
4535.685000,-0.964111,-0.008301,0.010498
4535.696000,-0.969727,-0.003174,0.003174
4535.707000,-0.965820,-0.007813,0.007324
4535.717000,-0.966309,-0.006592,0.008301
4535.727000,-0.966797,-0.010742,0.009521
4535.738000,-0.969482,-0.006348,0.014160
4535.749000,-0.965332,-0.004639,0.008789
4535.760000,-0.962158,-0.008057,0.008789
4535.769000,-0.969482,-0.006348,0.008545
4535.780000,-0.967529,-0.008789,0.001953
4535.790000,-0.962891,-0.009521,-0.000977
4535.800000,-0.964844,-0.003906,0.004639
4535.810000,-0.965576,-0.009766,0.004150
4535.851000,-0.966309,-0.008789,0.013672
4535.862000,-0.964600,-0.010010,0.009521
4535.873000,-0.964844,-0.010986,0.005371
4535.884000,-0.966797,-0.009766,0.004395
4535.894000,-0.966064,-0.006104,0.002197
4535.904000,-0.969238,-0.004639,0.006104
4535.914000,-0.964111,-0.007080,0.003662
4535.924000,-0.963623,-0.003418,0.002686
4535.935000,-0.969482,-0.003662,-0.002197
4535.945000,-0.961426,-0.010986,0.005859
4535.956000,-0.971191,-0.010010,0.008545
4535.967000,-0.967529,-0.013184,0.008301
4535.980000,-0.962402,-0.008301,0.007568
4535.991000,-0.968262,-0.007324,0.009521
4536.001000,-0.966553,-0.008057,0.003418
4536.012000,-0.969238,-0.007324,0.005859
4536.022000,-0.965820,-0.005859,0.000244
4536.033000,-0.964355,-0.005859,0.004639
4536.043000,-0.967285,-0.010010,0.003906
4536.054000,-0.964111,-0.005615,-0.001221
4536.064000,-0.965820,-0.011475,0.008057
4536.074000,-0.968994,-0.008057,-0.000488
4536.084000,-0.968262,-0.010986,0.001953
4536.095000,-0.960205,-0.007813,0.004395
4536.105000,-0.967285,-0.013184,0.003418
4536.116000,-0.964844,-0.009277,0.003906
4536.126000,-0.965332,-0.011475,0.000000
4536.136000,-0.965576,-0.009766,0.000244
4536.146000,-0.962646,-0.008301,0.002197
4536.156000,-0.964844,-0.007080,0.004883
4536.167000,-0.967773,-0.003906,0.005371
4536.177000,-0.966797,-0.007568,0.006592
4536.187000,-0.963379,-0.008057,0.003662
4536.197000,-0.967285,-0.007324,0.008789
4536.207000,-0.963379,-0.005859,0.003418
4536.218000,-0.969238,-0.008057,0.010254
4536.229000,-0.965088,-0.006836,0.004883
4536.242000,-0.967529,-0.010254,0.006104
4536.253000,-0.966064,-0.007813,0.002197
4536.263000,-0.970459,-0.008301,0.006836
4536.273000,-0.965088,-0.009521,0.004395
4536.283000,-0.965576,-0.004150,0.003662
4536.293000,-0.964355,-0.008545,0.006348
4536.304000,-0.968506,-0.007080,0.001221
4536.314000,-0.965576,-0.009033,0.008301
4536.324000,-0.968994,-0.006348,0.001709
4536.334000,-0.964844,-0.003418,0.005127
4536.344000,-0.962891,-0.010986,0.007324
4536.355000,-0.966553,-0.006592,0.003906
4536.365000,-0.970703,-0.010254,-0.000244
4536.376000,-0.965576,-0.009277,0.008301
4536.387000,-0.970215,-0.009033,0.003418
4536.397000,-0.964111,-0.010010,0.007080
4536.408000,-0.968018,-0.006592,0.001953
4536.418000,-0.968994,-0.007324,0.006592
4536.428000,-0.963135,-0.007568,0.003174
4536.438000,-0.968506,-0.006592,0.003418
4536.448000,-0.962402,-0.005859,-0.002441
4536.458000,-0.967529,-0.007813,0.007080
4536.468000,-0.967529,-0.008301,-0.002930
4536.478000,-0.966309,-0.009033,0.007080
4536.489000,-0.966797,-0.009277,0.004150
4536.502000,-0.964844,-0.011719,0.010986
4536.514000,-0.962891,-0.011230,0.003662
4536.524000,-0.967285,-0.005127,0.003174
4536.535000,-0.962891,-0.007568,0.008545
4536.545000,-0.964844,-0.006104,0.011475
4536.556000,-0.965332,-0.006836,0.007568
4536.566000,-0.966064,-0.010742,-0.000488
4536.577000,-0.964844,-0.005371,-0.001709
4536.587000,-0.966064,-0.003174,-0.001953
4536.598000,-0.960693,-0.005859,0.004395
4536.608000,-0.967529,-0.011963,0.005371
4536.619000,-0.963135,-0.007813,-0.002441
4536.629000,-0.968750,-0.005859,0.004883
4536.639000,-0.963379,-0.012451,0.001465
4536.650000,-0.965332,-0.005127,0.006348
4536.660000,-0.965576,-0.007813,-0.000732
4536.670000,-0.967773,-0.003418,0.005615
4536.680000,-0.968506,-0.006836,0.003418
4536.690000,-0.967285,-0.008057,-0.000977
4536.700000,-0.968018,-0.009521,0.001465
4536.710000,-0.965088,-0.010742,0.008545
4536.720000,-0.966553,-0.007813,0.002686
4536.730000,-0.968018,-0.009033,-0.005127
4536.740000,-0.971191,-0.008789,0.005127
4536.750000,-0.966309,-0.006592,0.002930
4536.793000,-0.966309,-0.008789,-0.000732
4536.804000,-0.965820,-0.007568,0.010498
4536.815000,-0.964844,-0.004395,0.007080
4536.825000,-0.967773,-0.007568,0.006348
4536.836000,-0.965576,-0.005615,0.003662
4536.846000,-0.964111,-0.008301,0.005615
4536.856000,-0.968506,-0.005127,0.004639
4536.866000,-0.966064,-0.007813,0.000732
4536.876000,-0.965332,-0.008301,0.000977
4536.886000,-0.969727,-0.007080,-0.000977
4536.896000,-0.966064,-0.005859,0.000977
4536.907000,-0.963379,-0.009766,0.002441
4536.917000,-0.964111,-0.005127,0.017334
4536.928000,-0.967773,-0.005127,0.007324
4536.938000,-0.969482,-0.007813,0.003174
4536.948000,-0.966309,-0.008545,0.004883
4536.958000,-0.971191,-0.005127,0.002441
4536.968000,-0.967285,-0.007324,0.003174
4536.979000,-0.963867,-0.005859,0.001221
4536.989000,-0.963623,-0.008301,0.000244
4537.000000,-0.968750,-0.008789,0.004883
4537.010000,-0.965576,-0.013184,0.000488
4537.020000,-0.963379,-0.010010,0.001221
4537.030000,-0.968018,-0.005127,0.004150
4537.039000,-0.967285,-0.005859,0.008057
4537.052000,-0.968994,-0.006104,0.009521
4537.063000,-0.967773,-0.008301,0.001953
4537.073000,-0.964355,-0.002686,0.001709
4537.083000,-0.966553,-0.009033,0.001709
4537.093000,-0.966064,-0.003662,0.006104
4537.103000,-0.969482,-0.004395,0.001221
4537.113000,-0.970215,-0.007080,0.007080
4537.124000,-0.963135,-0.010742,0.002686
4537.134000,-0.966309,-0.009277,0.007813
4537.144000,-0.967285,-0.006836,0.006592
4537.155000,-0.964844,-0.004395,0.008057
4537.165000,-0.966064,-0.008057,0.004883
4537.175000,-0.967773,-0.008545,0.010254
4537.186000,-0.966797,-0.010254,0.006104
4537.197000,-0.966553,-0.008545,0.005127
4537.207000,-0.967041,-0.010742,0.002930
4537.218000,-0.966064,-0.008789,0.004639
4537.229000,-0.970215,-0.011230,0.008789
4537.240000,-0.963135,-0.010498,-0.002197
4537.250000,-0.966553,-0.006592,0.003662
4537.260000,-0.964355,-0.010742,0.000244
4537.270000,-0.961182,-0.007813,0.005127
4537.280000,-0.964355,-0.004395,-0.002686
4537.290000,-0.965576,-0.009766,0.006348
4537.300000,-0.966797,-0.007324,0.008301
4537.313000,-0.965576,-0.010742,-0.001709
4537.325000,-0.964355,-0.010986,0.006592
4537.336000,-0.970215,-0.003662,0.010010
4537.346000,-0.963867,-0.009277,0.012207
4537.357000,-0.962402,-0.006104,0.000977
4537.367000,-0.968018,-0.009033,0.005371
4537.378000,-0.965088,-0.008057,0.004883
4537.388000,-0.964111,-0.006348,0.006104
4537.398000,-0.968994,-0.004150,0.004883
4537.408000,-0.962646,-0.010010,-0.000244
4537.419000,-0.964844,-0.007080,0.005127
4537.429000,-0.966309,-0.008057,0.007080
4537.439000,-0.964355,-0.001465,0.013428
4537.450000,-0.966797,-0.005615,0.007568
4537.460000,-0.964355,-0.011475,0.007813
4537.471000,-0.964600,-0.011963,0.003174
4537.482000,-0.968750,-0.010498,0.000977
4537.491000,-0.966553,-0.009277,0.006592
4537.501000,-0.966553,-0.009521,0.009033
4537.512000,-0.966309,-0.007813,0.007080
4537.522000,-0.967773,-0.006592,0.014404
4537.532000,-0.968018,-0.006836,0.000977
4537.542000,-0.962891,-0.010010,0.003906
4537.553000,-0.965088,-0.002686,0.000488
4537.566000,-0.965332,-0.007568,0.000244
4537.577000,-0.968262,-0.008789,0.007568
4537.588000,-0.965088,-0.007080,0.005127
4537.598000,-0.966064,-0.010010,0.007324
4537.608000,-0.971680,-0.008545,0.005859
4537.618000,-0.968262,-0.008057,0.005615
4537.628000,-0.964600,-0.008057,0.009033
4537.638000,-0.966553,-0.006836,0.000977
4537.648000,-0.963135,-0.010010,0.006104
4537.659000,-0.968994,-0.008057,0.009766
4537.669000,-0.964600,-0.002441,0.003418
4537.680000,-0.964844,-0.005615,0.010498
4537.690000,-0.963623,-0.008301,0.003418
4537.700000,-0.966309,-0.006836,0.008057
4537.710000,-0.965332,-0.009521,0.008057
4537.720000,-0.970459,-0.010010,0.009277
4537.730000,-0.965576,-0.009277,0.008301
4537.740000,-0.964600,-0.006836,0.002930
4537.750000,-0.961670,-0.010742,0.005615
4537.760000,-0.964844,-0.007568,0.006836
4537.770000,-0.965576,-0.007813,0.010254
4537.780000,-0.967285,-0.007080,0.001465
4537.790000,-0.965820,-0.005859,0.001221
4537.800000,-0.968018,-0.005615,0.002441
4537.810000,-0.963135,-0.003906,0.001709
4537.857000,-0.965820,-0.011230,0.004150
