t,ax,ay,az
4562.842000,0.060059,1.016113,-0.011963
4562.854000,0.057129,1.010986,-0.016602
4562.866000,0.059570,1.010742,-0.014160
4562.876000,0.057861,1.014160,-0.009766
4562.887000,0.065918,1.010986,-0.015381
4562.898000,0.061035,1.013916,-0.008789
4562.909000,0.062012,1.010498,-0.019043
4562.920000,0.056641,1.011230,-0.019775
4562.930000,0.056885,1.012695,-0.019287
4562.941000,0.053711,1.009522,-0.012939
4562.952000,0.059570,1.009033,-0.012207
4562.963000,0.064941,1.011719,-0.017578
4562.975000,0.060791,1.012451,-0.011963
4563.019000,0.055908,1.008789,-0.011475
4563.031000,0.059570,1.012451,-0.018799
4563.042000,0.058838,1.011963,-0.015625
4563.053000,0.062744,1.009522,-0.026123
4563.065000,0.058350,1.010742,-0.021240
4563.076000,0.058838,1.010742,-0.017090
4563.087000,0.054932,1.013184,-0.015137
4563.099000,0.057129,1.013916,-0.016113
4563.109000,0.057129,1.008789,-0.022217
4563.120000,0.062500,1.014893,-0.021484
4563.131000,0.061768,1.015869,-0.014893
4563.142000,0.065186,1.014893,-0.017090
4563.153000,0.062012,1.010986,-0.021484
4563.167000,0.057373,1.011475,-0.019531
4563.180000,0.063232,1.010986,-0.023193
4563.191000,0.062012,1.012451,-0.024170
4563.202000,0.057861,1.006836,-0.016357
4563.213000,0.063477,1.011719,-0.013916
4563.224000,0.066406,1.012451,-0.018066
4563.235000,0.062256,1.012207,-0.006592
4563.246000,0.059570,1.010498,-0.018799
4563.257000,0.059082,1.005859,-0.021729
4563.268000,0.062256,1.012207,-0.018799
4563.280000,0.062012,1.026367,-0.019531
4563.291000,0.061035,1.009033,-0.017578
4563.302000,0.068115,1.009277,-0.015381
4563.313000,0.064697,1.011230,-0.019043
4563.325000,0.062256,1.011719,-0.019043
4563.336000,0.061768,1.009033,-0.012695
4563.347000,0.059814,1.014160,-0.009033
4563.358000,0.055176,1.013916,-0.012939
4563.369000,0.060303,1.011230,-0.016357
4563.381000,0.061279,1.009033,-0.013916
4563.392000,0.063232,1.014893,-0.016357
4563.403000,0.068848,1.009033,-0.033447
4563.414000,0.065918,1.013916,-0.017578
4563.425000,0.062988,1.011963,-0.012207
4563.436000,0.058350,1.007324,-0.014160
4563.450000,0.060547,1.011230,-0.019043
4563.461000,0.062256,1.011719,-0.020264
4563.472000,0.062744,1.013184,-0.018555
4563.483000,0.064941,1.014893,-0.018555
4563.494000,0.066895,1.013916,-0.014648
4563.505000,0.063477,1.013672,-0.021240
4563.517000,0.062744,1.008545,-0.019043
4563.528000,0.060791,1.008545,-0.025879
4563.539000,0.059814,1.010254,-0.019775
4563.551000,0.064697,1.013184,-0.018311
4563.562000,0.064209,1.013184,-0.028564
4563.573000,0.064209,1.012939,-0.018311
4563.585000,0.056885,0.981445,-0.000488
4563.596000,0.058838,0.965332,-0.001953
4563.606000,0.063721,1.028564,-0.018799
4563.617000,0.066162,1.005615,-0.008545
4563.628000,0.064453,1.009277,-0.009277
4563.639000,0.060791,1.017090,-0.016113
4563.651000,0.064697,1.008789,-0.019043
4563.662000,0.067139,1.011475,-0.020264
4563.673000,0.062500,1.013916,-0.017090
4563.683000,0.065186,1.013184,-0.021729
4563.694000,0.063965,1.010742,-0.013184
4563.705000,0.063965,1.012207,-0.018555
4563.716000,0.062012,1.010742,-0.014404
4563.727000,0.067871,1.014648,-0.015381
4563.741000,0.061279,1.010498,-0.013916
4563.753000,0.071289,1.010742,-0.016357
4563.765000,0.067627,1.013672,-0.014160
4563.776000,0.065918,1.014160,-0.008789
4563.786000,0.064209,1.011475,-0.011963
4563.797000,0.064941,1.009033,-0.009033
4563.808000,0.061768,1.012695,-0.009277
4563.819000,0.068359,1.008057,-0.012207
4563.830000,0.065918,1.012207,-0.010742
4563.841000,0.066406,1.012207,-0.009033
4563.852000,0.063721,1.007324,-0.013428
4563.863000,0.070312,1.011719,-0.013672
4563.875000,0.064697,1.013428,-0.014648
4563.886000,0.063477,1.013184,-0.015137
4563.897000,0.063721,1.011719,-0.011963
4563.909000,0.064453,1.010498,-0.016846
4563.920000,0.066650,1.013916,-0.014404
4563.931000,0.065674,1.011230,-0.012939
4563.942000,0.066406,1.007568,-0.013672
4563.953000,0.069092,1.010010,-0.006836
4563.964000,0.064697,1.010010,-0.014648
4563.975000,0.064209,1.012451,-0.015625
4563.986000,0.060791,1.008301,-0.009521
4563.997000,0.065918,1.010498,-0.008545
4564.008000,0.064697,1.009277,-0.008545
4564.018000,0.064941,1.012451,-0.012939
4564.062000,0.065918,1.007812,-0.013184
4564.074000,0.068604,1.010010,-0.017578
4564.085000,0.066650,1.014893,-0.014160
4564.097000,0.062256,1.011963,-0.009277
4564.108000,0.065186,1.010498,-0.010986
4564.118000,0.067139,1.011719,-0.006348
4564.128000,0.067383,1.009766,-0.015381
4564.139000,0.067139,1.010010,-0.015381
4564.150000,0.064209,1.012695,-0.007568
4564.161000,0.065918,1.009522,-0.013916
4564.172000,0.062500,1.008789,-0.023193
4564.183000,0.061768,1.009522,-0.025146
4564.194000,0.063477,1.010498,-0.011719
4564.205000,0.066406,1.010010,-0.013184
4564.217000,0.064697,1.011963,-0.011230
4564.228000,0.068848,1.010742,-0.005615
4564.238000,0.069580,1.009766,-0.006104
4564.249000,0.067383,1.009522,-0.008301
4564.260000,0.063232,1.009522,-0.010986
4564.271000,0.063232,1.010254,-0.008545
4564.282000,0.064941,1.011475,-0.007324
4564.292000,0.065430,1.012939,-0.015381
4564.304000,0.061768,1.012451,-0.014404
4564.315000,0.064697,1.010742,-0.017822
4564.326000,0.063965,1.011719,-0.008789
4564.340000,0.069092,1.011475,-0.013916
4564.351000,0.065186,1.011475,-0.015625
4564.363000,0.063232,1.013428,-0.012695
4564.374000,0.065186,1.013428,-0.010010
4564.385000,0.063721,1.013672,-0.012451
4564.397000,0.065430,1.009522,-0.016846
4564.408000,0.067627,1.017090,-0.013672
4564.419000,0.068359,1.013184,-0.004150
4564.430000,0.070312,1.010010,-0.014648
4564.441000,0.066650,1.013672,-0.016602
4564.453000,0.064697,1.008057,-0.012939
4564.464000,0.062012,1.012939,-0.014404
4564.475000,0.062256,1.011719,-0.014893
4564.487000,0.065674,1.010986,-0.018555
4564.498000,0.068604,1.015869,-0.015869
4564.509000,0.068848,1.010742,-0.010010
4564.521000,0.062744,1.014648,-0.012451
4564.532000,0.065430,1.011475,-0.013916
4564.543000,0.064453,1.013916,-0.015381
4564.554000,0.066162,1.010010,-0.021484
4564.566000,0.064453,1.010742,-0.015137
4564.576000,0.063721,1.010742,-0.017334
4564.587000,0.064697,1.009033,-0.010986
4564.598000,0.069336,1.011963,-0.013672
4564.609000,0.065918,1.016113,-0.013672
4564.620000,0.067139,1.009277,-0.010986
4564.633000,0.061768,1.009277,-0.012451
4564.645000,0.057861,1.013428,-0.011963
4564.657000,0.065674,1.012207,-0.015137
4564.668000,0.062744,1.014893,-0.009521
4564.678000,0.065918,1.015137,-0.004639
4564.689000,0.064941,1.009766,-0.000488
4564.699000,0.064697,1.015381,-0.005615
4564.709000,0.063232,1.008545,-0.012207
4564.720000,0.066406,1.012207,-0.013672
4564.731000,0.059570,1.012207,-0.014893
4564.742000,0.062988,1.009277,-0.009033
4564.753000,0.068115,1.009277,-0.010010
4564.765000,0.064941,1.012207,-0.004150
4564.775000,0.068848,1.009766,-0.015137
4564.787000,0.068604,1.010742,-0.008789
4564.798000,0.064209,1.011475,-0.004639
4564.809000,0.064697,1.013672,-0.016113
4564.820000,0.059326,1.012207,-0.014893
4564.831000,0.058594,1.012695,-0.005127
4564.841000,0.056885,1.010498,-0.009277
4564.851000,0.059814,1.012695,-0.003906
4564.869000,0.064697,1.010010,-0.009766
4564.880000,0.063232,1.009522,-0.006104
4564.890000,0.067871,1.009033,-0.003662
4564.901000,0.067627,1.012451,-0.010986
4564.915000,0.067627,1.011230,-0.011963
4564.927000,0.065674,1.010010,-0.012695
4564.938000,0.066162,1.009277,-0.007324
4564.949000,0.063721,1.012207,-0.011230
4564.960000,0.061768,1.013916,-0.012939
4564.971000,0.066895,1.010010,-0.011963
4564.982000,0.068848,1.009522,-0.005859
4564.993000,0.063965,1.012451,-0.014404
4565.005000,0.062988,1.010498,-0.005615
4565.015000,0.063965,1.011230,-0.014160
4565.026000,0.064209,1.011475,-0.013672
4565.037000,0.068359,1.012451,-0.008789
4565.048000,0.063477,1.009766,-0.015381
4565.059000,0.061768,1.014893,-0.015381
4565.071000,0.066162,1.010498,-0.014404
4565.082000,0.062256,1.013184,-0.007568
4565.093000,0.062256,1.009033,-0.003662
4565.103000,0.062988,1.011230,-0.012451
4565.114000,0.060791,1.010010,-0.014160
4565.125000,0.066162,1.013428,-0.003418
4565.136000,0.062744,1.013916,-0.001221
4565.146000,0.062256,1.010742,-0.008301
4565.157000,0.069092,1.011963,-0.010742
4565.168000,0.065674,1.008545,-0.010254
4565.179000,0.064453,1.010010,-0.011719
4565.191000,0.061768,1.009522,-0.006348
4565.237000,0.063232,1.007080,-0.014893
4565.249000,0.061279,1.006104,-0.007324
4565.260000,0.063232,1.012207,-0.014160
4565.271000,0.065674,1.012695,-0.009521
