t,mx,my,mz
4571.239000,1.991602,-26.615040,-4.698633
4571.259000,1.991602,-26.615040,-4.698633
4571.278000,1.991602,-26.615040,-4.698633
4571.297000,1.991602,-26.615040,-4.698633
4571.316000,-0.543164,-33.857228,-8.527149
4571.335000,-0.543164,-33.857228,-8.527149
4571.354000,-0.543164,-33.857228,-8.527149
4571.373000,-0.543164,-33.857228,-8.527149
4571.393000,-0.543164,-33.857228,-8.527149
4571.413000,-0.543164,-33.857228,-8.527149
4571.433000,-0.543164,-33.857228,-8.527149
4571.453000,-1.267383,-37.116210,-8.875196
4571.496000,-1.267383,-37.116210,-8.875196
4571.516000,-1.267383,-37.116210,-8.875196
4571.536000,-1.267383,-37.116210,-8.875196
4571.556000,-1.267383,-37.116210,-8.875196
4571.576000,12.311719,-31.141408,-4.524610
4571.596000,12.311719,-31.141408,-4.524610
4571.616000,12.311719,-31.141408,-4.524610
4571.636000,12.311719,-31.141408,-4.524610
4571.656000,12.311719,-31.141408,-4.524610
4571.675000,12.311719,-31.141408,-4.524610
4571.695000,13.941212,-20.097070,6.786914
4571.714000,13.941212,-20.097070,6.786914
4571.733000,13.941212,-20.097070,6.786914
4571.753000,13.941212,-20.097070,6.786914
4571.772000,13.941212,-20.097070,6.786914
4571.792000,13.941212,-20.097070,6.786914
4571.811000,13.941212,-20.097070,6.786914
4571.830000,13.216992,-16.113868,10.615430
4571.850000,13.216992,-16.113868,10.615430
4571.870000,13.216992,-16.113868,10.615430
4571.891000,13.216992,-16.113868,10.615430
4571.912000,13.216992,-16.113868,10.615430
4571.932000,13.216992,-16.113868,10.615430
4571.952000,13.579102,-16.475976,12.355664
4571.972000,13.579102,-16.475976,12.355664
4571.992000,13.579102,-16.475976,12.355664
4572.012000,13.579102,-16.475976,12.355664
4572.032000,13.579102,-16.475976,12.355664
4572.052000,13.579102,-16.475976,12.355664
4572.071000,13.579102,-16.475976,12.355664
4572.090000,11.406446,-14.303321,15.836133
4572.109000,11.406446,-14.303321,15.836133
4572.129000,11.406446,-14.303321,15.836133
4572.148000,11.406446,-14.303321,15.836133
4572.167000,11.406446,-14.303321,15.836133
4572.187000,11.406446,-14.303321,15.836133
4572.206000,10.139063,-13.760157,14.269922
4572.225000,10.139063,-13.760157,14.269922
4572.245000,10.139063,-13.760157,14.269922
4572.266000,10.139063,-13.760157,14.269922
4572.286000,10.139063,-13.760157,14.269922
4572.306000,10.139063,-13.760157,14.269922
4572.326000,10.501172,-14.484376,14.269922
4572.346000,10.501172,-14.484376,14.269922
4572.367000,10.501172,-14.484376,14.269922
4572.387000,10.501172,-14.484376,14.269922
4572.407000,10.501172,-14.484376,14.269922
4572.427000,10.501172,-14.484376,14.269922
4572.446000,10.501172,-14.484376,14.269922
4572.465000,9.052734,-14.122266,13.573829
4572.484000,9.052734,-14.122266,13.573829
4572.503000,9.052734,-14.122266,13.573829
4572.522000,9.052734,-14.122266,13.573829
4572.541000,9.052734,-14.122266,13.573829
4572.561000,9.052734,-14.122266,13.573829
4572.580000,11.044336,-14.303321,14.443946
4572.601000,11.044336,-14.303321,14.443946
4572.620000,11.044336,-14.303321,14.443946
4572.640000,11.044336,-14.303321,14.443946
4572.661000,11.044336,-14.303321,14.443946
4572.682000,11.044336,-14.303321,14.443946
4572.702000,11.044336,-14.303321,14.443946
4572.722000,8.871680,-16.475976,14.791993
4572.742000,8.871680,-16.475976,14.791993
4572.762000,8.871680,-16.475976,14.791993
4572.782000,8.871680,-16.475976,14.791993
4572.802000,8.871680,-16.475976,14.791993
4572.821000,8.871680,-16.475976,14.791993
4572.840000,7.785352,-15.389649,14.791993
4572.859000,7.785352,-15.389649,14.791993
4572.878000,7.785352,-15.389649,14.791993
4572.898000,7.785352,-15.389649,14.791993
4572.917000,7.785352,-15.389649,14.791993
4572.936000,7.785352,-15.389649,14.791993
4572.955000,7.785352,-15.389649,14.791993
4572.974000,7.604297,-15.208594,15.314063
4572.994000,7.604297,-15.208594,15.314063
4573.015000,7.604297,-15.208594,15.314063
4573.035000,7.604297,-15.208594,15.314063
4573.055000,7.604297,-15.208594,15.314063
4573.075000,7.604297,-15.208594,15.314063
4573.095000,5.250586,-15.389649,16.532226
4573.115000,5.250586,-15.389649,16.532226
4573.135000,5.250586,-15.389649,16.532226
4573.182000,5.250586,-15.389649,16.532226
4573.202000,5.250586,-15.389649,16.532226
4573.223000,4.888477,-14.303321,17.924416
4573.243000,4.888477,-14.303321,17.924416
4573.263000,4.888477,-14.303321,17.924416
4573.283000,4.888477,-14.303321,17.924416
4573.304000,4.888477,-14.303321,17.924416
4573.325000,4.888477,-14.303321,17.924416
4573.345000,4.707422,-14.484376,18.098438
4573.365000,4.707422,-14.484376,18.098438
4573.386000,4.707422,-14.484376,18.098438
4573.407000,4.707422,-14.484376,18.098438
4573.427000,4.707422,-14.484376,18.098438
4573.446000,4.707422,-14.484376,18.098438
4573.465000,0.362109,-15.208594,17.750390
4573.484000,0.362109,-15.208594,17.750390
4573.503000,0.362109,-15.208594,17.750390
4573.523000,0.362109,-15.208594,17.750390
4573.542000,0.362109,-15.208594,17.750390
4573.561000,0.362109,-15.208594,17.750390
4573.580000,0.362109,-15.208594,17.750390
4573.601000,1.267383,-13.941212,17.924416
4573.622000,1.267383,-13.941212,17.924416
4573.642000,1.267383,-13.941212,17.924416
4573.662000,1.267383,-13.941212,17.924416
4573.682000,1.267383,-13.941212,17.924416
4573.702000,1.267383,-13.941212,17.924416
4573.722000,-2.534766,-13.760157,19.490626
4573.742000,-2.534766,-13.760157,19.490626
4573.762000,-2.534766,-13.760157,19.490626
4573.782000,-2.534766,-13.760157,19.490626
4573.802000,-2.534766,-13.760157,19.490626
4573.821000,-2.534766,-13.760157,19.490626
4573.840000,-2.534766,-13.760157,19.490626
4573.859000,-3.077930,-15.027539,18.968556
4573.879000,-3.077930,-15.027539,18.968556
4573.898000,-3.077930,-15.027539,18.968556
4573.917000,-3.077930,-15.027539,18.968556
4573.936000,-3.077930,-15.027539,18.968556
4573.955000,-3.077930,-15.027539,18.968556
4573.976000,-5.250586,-12.492774,20.708790
4573.996000,-5.250586,-12.492774,20.708790
4574.016000,-5.250586,-12.492774,20.708790
4574.036000,-5.250586,-12.492774,20.708790
